"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-31 ~ 2026-03-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 60㎡초과~85㎡이하"
"금액선택 : 95000 ~ 115000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성북구 석관동","10","0010","0000","두산","84.9000","202603","26","98,000","-","13","개인","개인","1998","화랑로48길 16","-","중개거래","서울 성북구","-"
"2","서울특별시 송파구 문정동","58","0058","0000","현대2","84.9600","202603","26","100,000","-","1","개인","개인","1995","송파대로16길 12","-","중개거래","서울 송파구","-"
"3","서울특별시 노원구 중계동","359-1","0359","0001","주공5","84.7900","202603","25","105,000","-","2","개인","개인","1992","중계로 230","-","직거래","-","-"
"4","서울특별시 양천구 신정동","1279","1279","0000","목동현대3차","84.7700","202603","25","105,000","-","7","개인","개인","1997","목동동로12길 60","-","직거래","-","-"
"5","서울특별시 강서구 등촌동","691-3","0691","0003","부영","80.6400","202603","24","110,000","-","12","개인","개인","1994","강서로56나길 110","-","중개거래","서울 강서구","-"
"6","서울특별시 노원구 중계동","588","0588","0000","양지마을(대림)2","84.8800","202603","22","97,500","-","13","개인","개인","1999","덕릉로73길 28","-","중개거래","서울 노원구","-"
"7","서울특별시 영등포구 대림동","607-1","0607","0001","코오롱","84.9300","202603","22","115,000","-","24","개인","개인","1998","도영로 2-5","-","중개거래","서울 영등포구","-"
"8","서울특별시 서대문구 홍제동","331","0331","0000","홍제현대","75.1500","202603","21","97,000","-","8","개인","개인","1992","통일로39가길 57","-","중개거래","경기 용인시 기흥구, 서울 서대문구","-"
"9","서울특별시 은평구 응암동","766","0766","0000","백련산파크자이","84.9010","202603","21","105,000","-","14","개인","개인","2021","백련산로 67","-","중개거래","서울 은평구","-"
"10","서울특별시 영등포구 문래동6가","38-1","0038","0001","문래베어스타운","84.9000","202603","21","114,500","-","16","개인","개인","1997","선유서로 40","-","중개거래","서울 영등포구","-"
"11","서울특별시 관악구 봉천동","1728","1728","0000","관악파크푸르지오","84.9800","202603","21","113,000","-","7","개인","개인","2014","행운10길 21","-","중개거래","서울 관악구","-"
"12","서울특별시 영등포구 신길동","365","0365","0000","우성1","64.4000","202603","21","108,000","-","14","개인","개인","1986","도신로 68","20260326","중개거래","서울 영등포구","-"
"13","서울특별시 영등포구 신길동","365","0365","0000","우성1","64.4000","202603","21","108,000","-","14","개인","개인","1986","도신로 68","-","중개거래","서울 영등포구","-"
"14","서울특별시 중구 황학동","2545","2545","0000","롯데캐슬","84.8900","202603","21","115,000","-","28","개인","개인","2008","청계천로 400","-","중개거래","서울 성동구","-"
"15","서울특별시 영등포구 문래동6가","46","0046","0000","현대1차","79.5200","202603","20","106,300","-","11","개인","개인","1986","문래로4길 14","-","중개거래","서울 영등포구","-"
"16","서울특별시 성북구 종암동","104-1","0104","0001","종암에스케이","84.7200","202603","20","95,000","-","26","개인","개인","1999","종암로24가길 53","-","중개거래","경기 의정부시, 서울 성북구","-"
"17","서울특별시 동작구 상도동","411","0411","0000","대림아파트","84.8900","202603","19","98,000","-","12","개인","개인","1995","상도로60길 20","-","중개거래","서울 동작구","-"
"18","서울특별시 동대문구 회기동","65","0065","0000","신현대","84.9600","202603","19","98,000","-","6","개인","개인","1989","이문로1길 21","-","중개거래","서울 동대문구","-"
"19","서울특별시 구로구 구로동","256-1","0256","0001","삼성래미안","78.6650","202603","19","95,000","-","8","개인","개인","2004","디지털로31길 90","-","중개거래","서울 구로구","-"
"20","서울특별시 동대문구 답십리동","80","0080","0000","답십리청솔우성","84.9400","202603","19","110,000","-","12","개인","개인","2000","전농로10길 20","-","중개거래","서울 동대문구","-"
"21","서울특별시 성동구 용답동","15","0015","0000","중앙하이츠","84.5450","202603","19","113,000","-","2","개인","개인","1995","용답중앙27길 10","-","중개거래","서울 성동구","-"
"22","서울특별시 은평구 응암동","768","0768","0000","백련산해모로","84.9100","202603","18","106,000","-","17","개인","개인","2020","응암로30길 15","-","중개거래","경기 광명시, 서울 은평구","-"
"23","서울특별시 관악구 봉천동","1728","1728","0000","관악파크푸르지오","84.9900","202603","18","107,000","-","11","개인","개인","2014","행운10길 21","-","중개거래","서울 관악구","-"
"24","서울특별시 성북구 돈암동","633","0633","0000","동부센트레빌","80.5400","202603","18","99,000","-","18","개인","개인","2003","정릉로 388","-","중개거래","서울 성북구","-"
"25","서울특별시 성북구 돈암동","633","0633","0000","동부센트레빌","80.5400","202603","18","95,000","-","2","개인","개인","2003","정릉로 388","-","중개거래","서울 성북구","-"
"26","서울특별시 강동구 둔촌동","546","0546","0000","신성둔촌미소지움1","84.8600","202603","18","101,000","-","15","개인","개인","1998","명일로 102","-","직거래","-","-"
"27","서울특별시 영등포구 신길동","364","0364","0000","건영","75.9300","202603","17","109,000","-","5","개인","개인","1985","도림로 313","-","중개거래","서울 영등포구","-"
"28","서울특별시 관악구 봉천동","1718","1718","0000","벽산블루밍","84.9900","202603","17","111,000","-","8","개인","개인","2005","은천로 93","-","중개거래","서울 관악구","-"
"29","서울특별시 서대문구 홍제동","469","0469","0000","인왕산한신휴플러스","84.9250","202603","17","110,000","-","13","개인","개인","2009","통일로 397","-","중개거래","서울 서대문구","-"
"30","서울특별시 영등포구 도림동","165-1","0165","0001","동아에코빌","84.9900","202603","17","104,500","-","23","개인","개인","2000","도림로 365","-","중개거래","서울 영등포구","-"
"31","서울특별시 은평구 수색동","419","0419","0000","DMCSK뷰아이파크포레","84.9500","202603","17","110,000","-","10","개인","개인","2025","수색로 322","-","중개거래","서울 은평구","-"
"32","서울특별시 송파구 거여동","46","0046","0000","현대3차","84.9400","202603","16","98,000","-","11","개인","개인","1993","거마로 41","-","직거래","-","-"
"33","서울특별시 강서구 등촌동","638","0638","0000","서광등촌마을아파트","84.9300","202603","16","104,500","-","12","개인","개인","1999","공항대로45길 68-6","-","중개거래","서울 강서구","-"
"34","서울특별시 은평구 응암동","768","0768","0000","백련산해모로","84.9900","202603","16","105,000","-","12","개인","개인","2020","응암로30길 15","-","중개거래","서울 마포구, 서울 은평구","-"
"35","서울특별시 송파구 오금동","138","0138","0000","우방","84.9500","202603","15","109,500","-","9","개인","개인","2001","성내천로 87","-","중개거래","서울 송파구","-"
"36","서울특별시 동대문구 청량리동","60","0060","0000","한신","84.9200","202603","15","97,000","-","15","개인","개인","1997","제기로 131","-","중개거래","서울 동대문구","-"
"37","서울특별시 은평구 증산동","244","0244","0000","DMC우방","84.9900","202603","15","98,000","-","5","개인","개인","2000","증산로3길 26-1","-","중개거래","서울 은평구","-"
"38","서울특별시 은평구 불광동","638","0638","0000","북한산래미안아파트(1단지)","84.9885","202603","14","104,500","-","8","개인","개인","2010","진흥로 267","-","중개거래","서울 동작구, 서울 은평구","-"
"39","서울특별시 동대문구 답십리동","80","0080","0000","답십리청솔우성","84.9400","202603","14","108,000","-","10","개인","개인","2000","전농로10길 20","-","중개거래","서울 동대문구","-"
"40","서울특별시 동대문구 답십리동","80","0080","0000","답십리청솔우성","84.9400","202603","14","101,000","-","2","개인","개인","2000","전농로10길 20","-","중개거래","서울 동대문구","-"
"41","서울특별시 성북구 길음동","1280","1280","0000","길음뉴타운2단지푸르지오","84.9700","202603","14","106,500","-","13","개인","개인","2005","길음로 119","-","중개거래","서울 성북구","-"
"42","서울특별시 노원구 공릉동","758","0758","0000","태릉해링턴플레이스","74.9500","202603","14","104,000","-","3","개인","개인","2022","공릉로34길 86","-","중개거래","서울 노원구","-"
"43","서울특별시 노원구 공릉동","758","0758","0000","태릉해링턴플레이스","74.9500","202603","14","106,000","-","6","개인","개인","2022","공릉로34길 86","-","중개거래","서울 노원구","-"
"44","서울특별시 노원구 월계동","18","0018","0000","한진한화그랑빌","84.9700","202603","14","113,000","-","9","개인","개인","2002","마들로 31","-","중개거래","서울 노원구","-"
"45","서울특별시 구로구 고척동","334","0334","0000","벽산","84.8780","202603","14","100,000","-","3","개인","개인","2003","경인로 390","-","중개거래","서울 구로구","-"
