"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-31 ~ 2026-03-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 60㎡초과~85㎡이하"
"금액선택 : 95000 ~ 115000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 용인시 기흥구 구갈동","661","0661","0000","기흥역더샵","84.9685","202603","26","98,500","-","38","개인","개인","2018","기흥역로58번길 78","-","중개거래","경기 용인시 기흥구","-"
"2","경기도 고양시 덕양구 지축동","904","0904","0000","지축역센트럴푸르지오","78.3947","202603","26","96,000","-","24","개인","개인","2019","지축로 55","-","중개거래","경기 고양시 덕양구","-"
"3","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","84.9700","202603","25","96,000","-","16","개인","개인","2023","인계로 20","-","중개거래","경기 수원시 권선구, 경기 수원시 팔달구","-"
"4","경기도 과천시 별양동","1-17","0001","0017","과천타워","80.9300","202603","25","102,000","-","9","개인","개인","1997","별양상가1로 10","-","중개거래","경기 과천시","-"
"5","경기도 화성시 동탄구 영천동","662","0662","0000","동탄역센트럴상록아파트","72.3500","202603","25","98,000","-","20","개인","개인","2017"," 9","-","중개거래","경기 화성시 동탄구","-"
"6","경기도 하남시 신장동","602","0602","0000","하남유니온시티에일린의뜰","84.9900","202603","24","111,500","-","9","개인","개인","2017","하남유니온로 70","-","중개거래","경기 하남시","-"
"7","경기도 수원시 영통구 망포동","766","0766","0000","영통아이파크캐슬1단지","84.6900","202603","24","112,000","-","19","개인","개인","2019","덕영대로 1410","-","중개거래","경기 수원시 영통구","-"
"8","경기도 광명시 철산동","241","0241","0000","주공13","84.7700","202603","24","115,000","-","4","개인","개인","1986","철산로 57","-","중개거래","서울 영등포구","-"
"9","경기도 용인시 수지구 죽전동","1152","1152","0000","인현마을힐스테이트(7차2단지)","84.9920","202603","24","104,500","-","10","개인","개인","2004","탄천상로 6","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","-"
"10","경기도 용인시 수지구 상현동","1206","1206","0000","포레나 광교상현","84.9133","202603","23","101,000","-","10","개인","개인","2018","수지로 17","-","중개거래","경기 용인시 수지구","-"
"11","경기도 안양시 동안구 호계동","1296","1296","0000","평촌어바인퍼스트","74.6900","202603","23","103,000","112","23","개인","개인","2021","경수대로 581","-","중개거래","서울 송파구","26.03.26"
"12","경기도 안양시 동안구 평촌동","75-2","0075","0002","인덕원대우","84.9600","202603","23","113,000","-","7","개인","개인","2001","학의로 390","-","중개거래","경기 안양시 동안구","-"
"13","경기도 화성시 동탄구 산척동","699","0699","0000","동탄 더샵 레이크에듀타운","84.4396","202603","22","100,000","-","20","개인","개인","2019"," 20","-","중개거래","경기 화성시 동탄구","-"
"14","경기도 화성시 동탄구 청계동","533","0533","0000","동탄역시범반도유보라아이비파크1.0","84.9885","202603","21","104,900","-","6","개인","개인","2015"," 168","-","중개거래","경기 화성시 동탄구","-"
